id,year,title,relative_path,delete_as_activity_notice,confidence,category,reason
"e3e2330aeb66","2020","【直播预告】学管理，战疫情！中小企业的自救对策就在这里","2020/2020-02-10_【直播预告】学管理，战疫情！中小企业的自救对策就在这里.txt","true","0.9","活动通知","文章主要内容为直播预告，包含直播时间、嘉宾介绍、直播入口等信息，属于低长期参考价值的活动通知。"
"28e324a0aa46","2020","【直播预告】事关生死的创新！从新冠希望星瑞德西韦背后的“药神”讲起","2020/2020-02-13_【直播预告】事关生死的创新！从新冠希望星瑞德西韦背后的“药神”讲起.txt","true","1","直播预告","文章主要内容是关于一场名为“【直播预告】事关生死的创新！从新冠希望星瑞德西韦背后的“药神”讲起”的线上直播活动，通知了直播时间、内容要点、嘉宾信息和参与方式，属于活动通知类。"
"baf8a90945b4","2020","【直播预告】企业急救指南出炉！李若山教授的现金流管理对策","2020/2020-02-18_【直播预告】企业急救指南出炉！李若山教授的现金流管理对策.txt","true","1","直播预告","文章主要目的是预告一场关于企业现金流管理的直播课程，包含直播时间、内容要点、嘉宾介绍和参与方式，具有明显的活动通知性质。"
"99e0dc6f1558","2020","【直播预告】复工复产企业如何转危为机？陈祥锋教授教你应对全球供应链重构威胁","2020/2020-02-23_【直播预告】复工复产企业如何转危为机？陈祥锋教授教你应对全球供应链重构威胁.txt","true","1","直播预告","该文章主要内容为预告一场关于企业如何应对全球供应链重构威胁的线上直播活动，包含直播时间、嘉宾介绍、直播内容要点等信息，符合活动通知和直播预告的定义。"
"21ca561bf1cb","2020","【直播预告】直面新冠风暴下的中国经济，管理者都该掌握“第二层思维”","2020/2020-02-27_【直播预告】直面新冠风暴下的中国经济，管理者都该掌握“第二层思维”.txt","true","0.9","直播预告","文章主要内容为直播预告，包含直播时间、直播内容、嘉宾介绍以及获取直播链接的方式，具有活动通知的属性。"
"122527e6c5ef","2020","【直播预告】实体店寒冬下，听胥正川教授讲“旧零售”的终结","2020/2020-03-03_【直播预告】实体店寒冬下，听胥正川教授讲“旧零售”的终结.txt","true","0.95","直播预告","文章标题包含“直播预告”，内容主要预告了胥正川教授的直播讲座，包括讲座主题、时间、嘉宾介绍和直播要点，目的是通知用户并引导其观看直播，属于活动通知性质。"
"f16a0aab05e1","2020","【直播预告】开启企业“财务天眼”，迎接疫情下的数字化转型战","2020/2020-03-06_【直播预告】开启企业“财务天眼”，迎接疫情下的数字化转型战.txt","true","0.95","直播预告","该文章主要内容为预告一场线上直播活动，包含直播时间、主题、嘉宾介绍、参与方式等信息，符合活动通知的特征。"
"95036fc68eaa","2020","【直播预告】疫情引发全球震荡，如何解读当前中国资本市场？","2020/2020-03-07_【直播预告】疫情引发全球震荡，如何解读当前中国资本市场？.txt","true","1","直播预告","文章内容是关于一场关于疫情对中国资本市场影响的直播预告，明确了直播时间、嘉宾和议程，主要目的是通知活动信息并吸引观众，属于活动通知类内容。"
"c21897bb99aa","2020","【直播预告】心态决定战“疫”成败，为管理者准备的“正念”练习课","2020/2020-03-13_【直播预告】心态决定战“疫”成败，为管理者准备的“正念”练习课.txt","true","1","直播预告","文章标题和内容明确指出是直播预告，包含直播时间、主题、嘉宾介绍、报名方式等活动通知要素，主要目的是通知和引流，应作为活动通知删除。"
"5ec7dac13f33","2020","【直播预告】人才加速时代，如何重构职场竞争力？","2020/2020-03-19_【直播预告】人才加速时代，如何重构职场竞争力？.txt","true","1","直播预告","文章标题和内容明确指出是『直播预告』，主要目的是通知用户关于直播活动的时间、主题和嘉宾，属于活动通知类内容。"
"ec25261bcc6b","2020","【直播预告】危机之下，我们更需要的学术思维和学者修养","2020/2020-03-28_【直播预告】危机之下，我们更需要的学术思维和学者修养.txt","true","1","直播预告","文章内容主要是关于一次线上直播预告，详细介绍了直播的主题、时间、内容、主讲嘉宾、适合对象以及参与方式，符合活动通知的特征。"
"b48255d93f92","2020","【直播预告】房地产业变革，疫情之下如何化危为机？","2020/2020-04-04_【直播预告】房地产业变革，疫情之下如何化危为机？.txt","true","1","直播预告","该内容是关于一个即将举行的直播活动的预告，明确了直播的时间、主题、嘉宾和内容，其主要目的是通知和吸引参与者，因此属于活动通知类低参考价值文本。"
"0781d6262495","2020","【直播预告】回望“327事件”！解析证券市场风险处置和市场监管的现实意义","2020/2020-04-11_【直播预告】回望“327事件”！解析证券市场风险处置和市场监管的现实意义.txt","true","0.9","直播预告","文章标题和内容明确为直播预告，包含直播时间、主题、嘉宾介绍和内容概要，主要目的是通知和吸引用户参与直播活动。"
"5cc4cad41995","2020","【直播预告】危机之下，我们更需要的学术思维和学者修养","2020/2020-04-21_【直播预告】危机之下，我们更需要的学术思维和学者修养.txt","true","0.95","直播预告","该内容属于直播预告，通知用户直播的时间、嘉宾、内容及参与方式，具有低长期参考价值。"
"f0f4c76ed152","2020","【直播预告】负油价，后疫情！行业投资机会在哪里？","2020/2020-04-22_【直播预告】负油价，后疫情！行业投资机会在哪里？.txt","true","0.9","直播预告","文章内容为直播预告，包含直播时间、嘉宾介绍、直播议程等信息，主要目的是通知和引流，符合活动通知的定义。"
