id,year,date,title,relative_path,char_count,line_count
"5753bf6161da","2025","2025-06-29","独家揭秘OpenAI核心文件：AGI五级突破实锤！微软130亿投资或打水漂","2025/2025-06-29_独家揭秘OpenAI核心文件：AGI五级突破实锤！微软130亿投资或打水漂.txt","2854","113"
"21c2dd016e17","2025","2025-06-29","强化学习也能预训练？效果可提升20倍，华人新作引爆RL新范式!","2025/2025-06-29_强化学习也能预训练？效果可提升20倍，华人新作引爆RL新范式!.txt","3303","85"
"efacb1cea21a","2025","2025-06-29","新智元十年，ASI降临，诚邀你加入！","2025/2025-06-29_新智元十年，ASI降临，诚邀你加入！.txt","2140","228"
"c405d9973ea3","2025","2025-06-29","Nature：博士太多，高校已经装不下了！","2025/2025-06-29_Nature：博士太多，高校已经装不下了！.txt","2299","49"
"a4455a2e2b94","2025","2025-06-30","比女皇报告还炸裂！67页AI深度调研刷屏，全球LLM大决战真正开始","2025/2025-06-30_比女皇报告还炸裂！67页AI深度调研刷屏，全球LLM大决战真正开始.txt","4170","174"
"a08ccd7e8df6","2025","2025-06-30","新智元十年，ASI降临，诚邀你加入！","2025/2025-06-30_新智元十年，ASI降临，诚邀你加入！.txt","2140","228"
"5e38e2e64266","2025","2025-06-30","AI编程里程碑！谷歌AI自己写代码惊呆工程师，GPU内核算法反超人类21%","2025/2025-06-30_AI编程里程碑！谷歌AI自己写代码惊呆工程师，GPU内核算法反超人类21%.txt","7516","345"
"6cc29ecb4ba1","2025","2025-06-30","RAG终极框架！港大开源RAG-Anything：统一多模态知识图谱","2025/2025-06-30_RAG终极框架！港大开源RAG-Anything：统一多模态知识图谱.txt","6903","287"
"30e5625f5f28","2025","2025-07-01","策略改写「一战历史」！中科院开源全新博弈智能体框架DipLLM","2025/2025-07-01_策略改写「一战历史」！中科院开源全新博弈智能体框架DipLLM.txt","3989","149"
"052bb43a2abb","2025","2025-07-01","超越微软，全球第一！上交AI智能体炼成「Kaggle特级大师」，登顶OpenAI MLE-bench","2025/2025-07-01_超越微软，全球第一！上交AI智能体炼成「Kaggle特级大师」，登顶OpenAI MLE-bench.txt","4931","238"
"c19f0f4b281c","2025","2025-07-01","o3通关「俄罗斯方块」，碾压Gemini夺冠！UCSD新基准击碎宝可梦","2025/2025-07-01_o3通关「俄罗斯方块」，碾压Gemini夺冠！UCSD新基准击碎宝可梦.txt","3507","97"
"7b69c9757aa9","2025","2025-07-02","别用Sora了，百度AI视频已杀疯！好莱坞级大片封神，短剧广告彻底颠覆","2025/2025-07-02_别用Sora了，百度AI视频已杀疯！好莱坞级大片封神，短剧广告彻底颠覆.txt","5117","136"
"cbe8e93e3280","2025","2025-07-02","超CLIP准确率11%！伯克利港大阐明「LLM文本-视觉」对齐深层机制","2025/2025-07-02_超CLIP准确率11%！伯克利港大阐明「LLM文本-视觉」对齐深层机制.txt","2987","64"
"d23ac6ec0469","2025","2025-07-02","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-02_新智元十年，ASI降临，诚邀你加入！.txt","1639","147"
"421cdf57a6a5","2025","2025-07-02","ChatGPT惨败Llama！MIT官宣AI开飞船0%失败率，马斯克火星殖民不再是梦","2025/2025-07-02_ChatGPT惨败Llama！MIT官宣AI开飞船0%失败率，马斯克火星殖民不再是梦.txt","3816","143"
"3ecbdf9cbc94","2025","2025-07-03","推理AI致命弱点，大模型变「杠精」！被带偏后死不悔改","2025/2025-07-03_推理AI致命弱点，大模型变「杠精」！被带偏后死不悔改.txt","2657","57"
"0eb2f5a7d7e8","2025","2025-07-03","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-03_新智元十年，ASI降临，诚邀你加入！.txt","1639","147"
"a66f705543a3","2025","2025-07-03","智源OmniGen2登场，国产多模态图像生成开源！一周狂揽2000星外网爆火","2025/2025-07-03_智源OmniGen2登场，国产多模态图像生成开源！一周狂揽2000星外网爆火.txt","2769","97"
"06c48119a258","2025","2025-07-03","AI科学家组团搞科研，爆肝万字报告震惊医学家！Nature独刊揭秘细节","2025/2025-07-03_AI科学家组团搞科研，爆肝万字报告震惊医学家！Nature独刊揭秘细节.txt","4571","116"
"e10c3dd37399","2025","2025-07-04","全网痛骂「AI作弊狗」！亚裔小孩哥却凭作弊黑科技一年狂赚700万美元","2025/2025-07-04_全网痛骂「AI作弊狗」！亚裔小孩哥却凭作弊黑科技一年狂赚700万美元.txt","3696","128"
"4aef5379e018","2025","2025-07-04","新天终启，万象智生——万年奇点时刻，谁将引爆中国ASI？","2025/2025-07-04_新天终启，万象智生——万年奇点时刻，谁将引爆中国ASI？.txt","4057","151"
"be4045025736","2025","2025-07-04","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-04_新智元十年，ASI降临，诚邀你加入！.txt","1639","147"
"c2d25f1a8d64","2025","2025-07-05","「谷歌搜索」过时了！10秒KO，ChatGPT秒解五年医学谜团","2025/2025-07-05_「谷歌搜索」过时了！10秒KO，ChatGPT秒解五年医学谜团.txt","1997","58"
"eaf4b2c18583","2025","2025-07-05","2050年，衰老将被攻克？合成生物学教父揭秘长寿未来！","2025/2025-07-05_2050年，衰老将被攻克？合成生物学教父揭秘长寿未来！.txt","3211","90"
"6b0e9cde6125","2025","2025-07-05","全球AI失业大逃杀：25年已裁94000人！微软高管：被裁可用AI管理情绪","2025/2025-07-05_全球AI失业大逃杀：25年已裁94000人！微软高管：被裁可用AI管理情绪.txt","4731","125"
"d049fa0015cd","2025","2025-07-05","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-05_新智元十年，ASI降临，诚邀你加入！.txt","1639","147"
"b5636ea43a7e","2025","2025-07-06","10年顽疾ChatGPT一眼识破！AlphaGo时刻震撼全球医疗界","2025/2025-07-06_10年顽疾ChatGPT一眼识破！AlphaGo时刻震撼全球医疗界.txt","4146","98"
"70be47d5dc87","2025","2025-07-06","新智元十年，ASI降临，诚邀你加入！","2025/2025-07-06_新智元十年，ASI降临，诚邀你加入！.txt","1639","147"
"a1d01f84a49a","2025","2025-07-06","亚马逊100万机器人上岗！即将超越人类员工？机器人军团接管工作","2025/2025-07-06_亚马逊100万机器人上岗！即将超越人类员工？机器人军团接管工作.txt","3485","94"
"4ac68adfb583","2025","2025-07-06","Karpathy力荐必读博客：代码功底，决定AI「开挂」倍数！","2025/2025-07-06_Karpathy力荐必读博客：代码功底，决定AI「开挂」倍数！.txt","8721","448"
"35db4083e11e","2025","2025-07-07","癌症有救了？AI设计药物开启人体试验，DeepMind「秘密武器」引爆革命","2025/2025-07-07_癌症有救了？AI设计药物开启人体试验，DeepMind「秘密武器」引爆革命.txt","2496","77"
"0ab878ef105a","2025","2025-07-07","彻底戳穿AI「失忆症」！超越OpenAI全局记忆，中国队开源LLM记忆操作系统","2025/2025-07-07_彻底戳穿AI「失忆症」！超越OpenAI全局记忆，中国队开源LLM记忆操作系统.txt","7122","265"
"d1b6d631707d","2025","2025-07-07","颠覆搜索引擎，下一代Agentic Deep Research！12家顶尖学术机构联手提出","2025/2025-07-07_颠覆搜索引擎，下一代Agentic Deep Research！12家顶尖学术机构联手提出.txt","4197","119"
